statsbomb_match_id,world_cup_year,date,kick_off,competition_stage,stadium,referee,team_name,opponent_name,is_home,goals_scored,goals_conceded,total_shots,shots_on_target,shots_off_target,shots_blocked,shots_open_play,shots_free_kick,shots_penalty,shots_right_foot,shots_left_foot,shots_header,xg,xg_conceded,total_passes,passes_completed,passes_incomplete,avg_pass_length,long_passes,long_passes_completed,short_passes,ground_passes,low_passes,high_passes,through_balls,crosses,corners,free_kicks,goal_kicks,throw_ins,kick_offs,fouls_committed,fouls_won,handballs,yellow_cards,red_cards,second_yellows,offsides,clearances,interceptions,blocks,ball_recoveries,tackles,tackles_won,aerial_duels,aerial_duels_won,aerial_duels_lost,aerial_duels_total,pressures,dribbles_attempted,dribbles_completed,dispossessed,miscontrols,gk_saves,gk_punches,gk_claims,gk_sweeper,ball_possession_pct,possession_sequences,substitutions,fifty_fiftys,shot_accuracy,shot_conversion_rate,xg_per_shot,xg_overperformance,xg_differential,pass_completion_pct,long_pass_completion_pct,long_pass_ratio,cross_ratio,tackle_success_rate,aerial_win_pct,defensive_actions,pressure_intensity,recoveries_per_possession_lost,dribble_success_rate,discipline_index,goal_difference,match_result,is_clean_sheet,possession_differential,set_piece_passes,set_piece_ratio,gk_total_actions
7540,2018,2018-06-19,20:00:00.000,Group Stage,Saint-Petersburg Stadium,Enrique Cáceres,Russia,Egypt,1,3,1,12,4,5,3,12,0,0,5,4,3,0.9812,1.6975,467,321,146,20.81,73,26,370,263,32,172,0,26,7,8,6,21,1,10,11,1,2,0,0,0,26,8,19,50,11,7,15,21,15,36,184,10,0,10,12,1,0,1,0,47.9,105,3,0,33.3,25.0,0.0818,2.0188,-0.7163,68.7,35.6,15.6,5.6,63.6,58.3,64,184,2.27,0.0,3.0,2,W,0,-2.1,42,9.0,2
7540,2018,2018-06-19,20:00:00.000,Group Stage,Saint-Petersburg Stadium,Enrique Cáceres,Egypt,Russia,0,1,3,15,2,8,5,14,0,1,5,5,5,1.6975,0.9812,484,360,124,21.71,78,48,375,300,42,142,0,14,4,6,5,25,1,11,9,0,1,0,0,0,22,13,22,52,11,8,21,15,21,36,164,13,0,6,14,2,1,3,0,52.1,93,3,0,13.3,6.7,0.1132,-0.6975,0.7163,74.4,61.5,16.1,2.9,72.7,41.7,68,164,2.6,0.0,2.1,-2,L,0,2.1,40,8.3,6
7541,2018,2018-06-19,14:00:00.000,Group Stage,Mordovia Arena,Damir Skomina,Colombia,Japan,1,1,2,10,3,3,4,9,1,0,3,4,2,0.8063,2.3207,422,314,108,21.45,69,36,319,256,51,115,0,8,3,7,4,28,3,15,11,1,2,1,0,1,7,13,11,42,20,16,14,11,14,25,248,24,0,8,15,4,0,2,0,41.6,84,3,2,30.0,10.0,0.0806,0.1937,-1.5144,74.4,52.2,16.4,1.9,80.0,44.0,51,248,1.83,0.0,6.5,-1,L,0,-8.4,42,10.0,6
7541,2018,2018-06-19,14:00:00.000,Group Stage,Mordovia Arena,Damir Skomina,Japan,Colombia,0,2,1,14,6,5,3,13,0,1,7,4,3,2.3207,0.8063,630,530,100,18.27,68,38,538,514,34,82,0,12,6,13,1,12,2,11,14,0,0,0,0,1,16,19,15,30,20,10,11,14,11,25,172,13,0,16,5,2,0,0,0,58.4,84,3,2,42.9,14.3,0.1658,-0.3207,1.5144,84.1,55.9,10.8,1.9,50.0,56.0,70,172,1.43,0.0,1.1,1,W,0,8.4,32,5.1,2
7542,2018,2018-06-20,14:00:00.000,Group Stage,Stadion Luzhniki,Mark Geiger,Portugal,Morocco,1,1,0,12,2,6,4,10,2,0,9,1,2,0.885,1.4551,397,281,116,22.1,81,43,295,211,50,136,0,6,5,16,4,12,1,18,21,1,1,0,0,1,27,6,34,50,24,12,13,9,13,22,122,7,0,19,9,4,0,1,0,43.0,91,3,1,16.7,8.3,0.0738,0.115,-0.5701,70.8,53.1,20.4,1.5,50.0,40.9,91,122,1.79,0.0,2.8,1,W,1,-7.0,37,9.3,5
7542,2018,2018-06-20,14:00:00.000,Group Stage,Stadion Luzhniki,Mark Geiger,Morocco,Portugal,0,0,1,17,4,11,2,16,1,0,4,5,7,1.4551,0.885,519,382,137,19.83,82,39,400,316,68,135,0,24,7,13,1,30,2,23,17,2,1,0,0,1,13,14,17,61,20,14,9,13,9,22,120,26,0,14,8,1,0,0,0,57.0,94,3,1,23.5,0.0,0.0856,-1.4551,0.5701,73.6,47.6,15.8,4.6,70.0,59.1,64,120,2.77,0.0,3.3,-1,L,0,7.0,51,9.8,1
7543,2018,2018-06-20,20:00:00.000,Group Stage,Ak Bars Arena,Andrés Cunha,Iran,Spain,1,0,1,6,0,6,0,6,0,0,1,2,3,0.4265,2.197,262,158,104,26.7,78,29,166,127,21,114,0,10,2,9,9,16,2,14,15,0,2,0,0,2,20,12,27,49,14,9,5,7,5,12,255,13,0,2,9,2,1,0,0,24.5,69,3,1,0.0,0.0,0.0711,-0.4265,-1.7705,60.3,37.2,29.8,3.8,64.3,58.3,73,255,4.45,0.0,3.4,-1,L,0,-25.5,36,13.7,3
7543,2018,2018-06-20,20:00:00.000,Group Stage,Ak Bars Arena,Andrés Cunha,Spain,Iran,0,1,0,18,3,6,9,15,3,0,10,7,1,2.197,0.4265,816,719,97,17.45,82,57,704,673,70,73,3,21,6,8,3,18,1,15,14,0,0,0,0,1,10,6,4,50,5,4,7,5,7,12,139,29,0,5,15,0,1,2,0,75.5,83,3,1,16.7,5.6,0.1221,-1.197,1.7705,88.1,69.5,10.0,2.6,80.0,41.7,25,139,2.5,0.0,1.5,1,W,1,25.5,35,4.3,3
7544,2018,2018-06-20,17:00:00.000,Group Stage,	Rostov Arena,Clément Turpin,Uruguay,Saudi Arabia,1,1,0,14,3,6,5,13,1,0,6,4,3,1.8068,0.2735,511,429,82,19.09,51,35,436,392,32,87,0,12,3,5,3,16,1,13,12,1,0,0,0,0,13,10,16,44,16,10,1,4,1,5,240,13,0,11,14,2,0,3,0,44.8,87,3,0,21.4,7.1,0.1291,-0.8068,1.5333,84.0,68.6,10.0,2.3,62.5,80.0,55,240,1.76,0.0,1.3,1,W,1,-5.2,27,5.3,5
7544,2018,2018-06-20,17:00:00.000,Group Stage,	Rostov Arena,Clément Turpin,Saudi Arabia,Uruguay,0,0,1,8,2,3,3,7,1,0,5,2,1,0.2735,1.8068,584,499,85,19.76,93,54,467,444,57,83,2,13,2,8,6,17,1,12,11,0,0,0,0,2,8,18,16,45,15,11,4,1,4,5,173,27,0,8,16,2,1,1,0,55.2,88,3,0,25.0,0.0,0.0342,-0.2735,-1.5333,85.4,58.1,15.9,2.2,73.3,20.0,57,173,1.88,0.0,1.2,-1,L,0,5.2,33,5.7,4
7545,2018,2018-06-21,20:00:00.000,Group Stage,Stadion Nizhny Novgorod (Nizhniy Novgorod),Ravshan Irmatov,Argentina,Croatia,1,0,3,10,3,3,4,10,0,0,2,7,1,1.2181,1.8317,535,413,122,21.54,100,58,400,368,57,110,5,15,5,13,1,22,3,20,22,1,4,0,0,3,7,11,19,48,17,9,13,7,13,20,236,18,0,7,9,2,1,0,0,58.2,101,3,2,30.0,0.0,0.1218,-1.2181,-0.6136,77.2,58.0,18.7,2.8,52.9,35.0,54,236,3.0,0.0,6.0,-3,L,0,8.2,41,7.7,3
