fixture_id,world_cup_year,date,round,team_id,team_name,is_home,opponent_id,opponent_name,goals_scored,goals_conceded,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_pct
135806,2018,2018-06-24T12:00:00+00:00,Group Stage - 2,11,Panama,False,10,England,1,6,2,5,8,1,4,4,13,2,0,41.0,3,0,1,393,348,89.0
135807,2018,2018-06-24T15:00:00+00:00,Group Stage - 2,12,Japan,True,13,Senegal,2,2,3,2,7,2,5,2,8,2,2,56.0,2,0,5,462,369,80.0
135807,2018,2018-06-24T15:00:00+00:00,Group Stage - 2,13,Senegal,False,12,Japan,2,2,7,5,15,3,11,4,15,5,4,44.0,3,0,1,339,257,76.0
135808,2018,2018-06-24T18:00:00+00:00,Group Stage - 2,24,Poland,True,8,Colombia,0,3,2,2,9,5,6,3,15,7,1,45.0,2,0,0,421,321,76.0
135808,2018,2018-06-24T18:00:00+00:00,Group Stage - 2,8,Colombia,False,24,Poland,3,0,4,5,13,4,5,8,10,5,1,55.0,0,0,2,505,420,83.0
135809,2018,2018-06-25T14:00:00+00:00,Group Stage - 3,7,Uruguay,True,4,Russia,3,0,6,6,16,4,8,9,17,4,0,57.0,1,0,1,492,415,84.0
135809,2018,2018-06-25T14:00:00+00:00,Group Stage - 3,4,Russia,False,7,Uruguay,0,3,1,1,3,1,2,1,18,2,2,43.0,3,1,4,356,281,79.0
135810,2018,2018-06-25T14:00:00+00:00,Group Stage - 3,23,Saudi Arabia,True,32,Egypt,2,1,8,10,23,5,11,12,7,7,1,64.0,0,0,0,647,582,90.0
135810,2018,2018-06-25T14:00:00+00:00,Group Stage - 3,32,Egypt,False,23,Saudi Arabia,1,2,1,5,7,1,3,4,16,2,3,36.0,2,0,6,362,289,80.0
135811,2018,2018-06-25T18:00:00+00:00,Group Stage - 3,22,Iran,True,27,Portugal,1,1,2,4,7,1,3,4,16,1,1,26.0,2,0,3,213,139,65.0
135811,2018,2018-06-25T18:00:00+00:00,Group Stage - 3,27,Portugal,False,22,Iran,1,1,4,7,14,3,5,9,11,5,1,74.0,4,0,1,608,528,87.0
135812,2018,2018-06-25T18:00:00+00:00,Group Stage - 3,9,Spain,True,31,Morocco,2,2,5,12,18,1,13,5,5,7,1,74.0,0,0,1,742,678,91.0
135812,2018,2018-06-25T18:00:00+00:00,Group Stage - 3,31,Morocco,False,9,Spain,2,2,3,2,6,1,4,2,17,1,1,26.0,6,0,2,245,189,77.0
135813,2018,2018-06-26T14:00:00+00:00,Group Stage - 3,21,Denmark,True,2,France,0,0,2,1,5,2,1,4,10,4,1,32.0,1,0,3,322,228,71.0
135813,2018,2018-06-26T14:00:00+00:00,Group Stage - 3,2,France,False,21,Denmark,0,0,3,7,11,1,4,7,10,2,1,68.0,0,0,2,657,574,87.0
135814,2018,2018-06-26T14:00:00+00:00,Group Stage - 3,20,Australia,True,30,Peru,0,2,2,7,14,5,9,5,14,8,3,57.0,4,0,1,526,459,87.0
135814,2018,2018-06-26T14:00:00+00:00,Group Stage - 3,30,Peru,False,20,Australia,2,0,3,1,4,0,3,1,12,3,1,43.0,2,0,2,409,329,80.0
135815,2018,2018-06-26T18:00:00+00:00,Group Stage - 3,19,Nigeria,True,26,Argentina,1,2,3,5,9,1,4,5,20,3,0,33.0,2,0,2,283,186,66.0
135815,2018,2018-06-26T18:00:00+00:00,Group Stage - 3,26,Argentina,False,19,Nigeria,2,1,4,2,8,2,7,1,15,5,2,67.0,3,0,2,572,471,82.0
